	PID/THRD  SYSCALL(args) 		 = return
95400/0x2394fc:  fork()		 = 0 Err#1
95400/0x2394fc:  __mac_syscall(0x19FC51CCE, 0x2, 0x16F187A40)		 = 0 0
95400/0x2394fc:  map_with_linking_np(0x16F187930, 0x1, 0x16F187960)		 = 0 0
95400/0x2394fc:  close(0x3)		 = 0 0
95400/0x2394fc:  mprotect(0x100C78000, 0x4000, 0x1)		 = 0 0
95400/0x2394fc:  stat64("/bin/sh\0", 0x16F18ACF0, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F23135B4)		 = 90926390 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x2B3703DD39AD731F, 0x68055942340BF187, 0x100C74000, 0x100000B)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0xFFFFFFF000A67B6, 0x70AC0000056B6D36, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D36, 0x0)		 = 90926390 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CEE88)		 = 90926391 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x64312C9C4AE513F8, 0x1BC93F1934FA7082, 0x1AFAC2000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D37, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D37, 0x0)		 = 90926391 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CEC50)		 = 90926392 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x5E386C21260B1B3D, 0xD384185ACD3F379A, 0x1AFABC000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D38, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D38, 0x0)		 = 90926392 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CD580)		 = 90926393 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xD43BF68578B9F769, 0x41C6626D2F1091A7, 0x1AFA77000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D39, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D39, 0x0)		 = 90926393 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CDEB0)		 = 90926394 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xBE37BF9A0492A1C1, 0x587DDBAB3FC7F4A1, 0x1AFAA2000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D3A, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D3A, 0x0)		 = 90926394 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CDC68)		 = 90926395 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x9E345C4809D14E9E, 0x7D759D88BADF8FB2, 0x1AFA97000, 0x0)		 = 0 0
